Wall time,Step,Value
1542067032.6338353,43,-0.7088064551353455
1542067036.1431012,168,-0.7244102358818054
1542067037.872515,230,-0.7313302755355835
1542067044.6991541,475,-0.7740815281867981
1542067046.501878,537,-0.786848783493042
1542067047.6925473,580,-0.7982080578804016
1542067047.88939,587,-0.8006016612052917
1542067049.2159169,635,-0.8172541856765747
1542067049.5826783,648,-0.8166760206222534
1542067051.45972,715,-0.8408421277999878
1542067054.1677775,809,-0.8748653531074524
1542067060.084366,1015,-0.9831693768501282
1542067069.149893,1334,-1.263578176498413
1542067070.5961378,1386,-1.319766879081726
1542067070.7911253,1393,-1.3245607614517212
1542067071.99583,1437,-1.3886812925338745
1542067079.3111603,1692,-1.694448471069336
1542067080.5362444,1735,-1.7571371793746948
1542067080.6216142,1738,-1.7631714344024658
1542067084.5696135,1878,-1.9548777341842651
1542067085.7028484,1918,-2.033946990966797
1542067089.092126,2037,-2.2219412326812744
1542067096.687458,2308,-2.7458980083465576
1542067098.9675405,2390,-2.9050769805908203
1542067101.9902399,2486,-3.0884480476379395
1542067102.0219915,2487,-3.113227367401123
1542067107.849142,2686,-3.4266579151153564
1542067118.5408392,3039,-4.017177104949951
1542067123.971942,3231,-4.261787414550781
1542067124.4161606,3247,-4.310262680053711
1542067126.0563602,3306,-4.432032585144043
1542067134.8555021,3619,-4.852356433868408
1542067134.9115617,3621,-4.856733798980713
1542067136.3291104,3671,-4.964051246643066
1542067140.6331556,3822,-5.148369312286377
1542067144.402682,3957,-5.394136905670166
1542067154.6162198,4318,-5.710165023803711
1542067156.9504678,4401,-5.858978748321533
1542067159.5670671,4493,-5.983265399932861
1542067160.0346992,4510,-6.079140663146973
1542067164.8298736,4677,-6.221365451812744
1542067167.9602928,4789,-6.298330307006836
1542067173.0786023,4972,-6.397195339202881
1542067177.6933808,5135,-6.628543376922607
1542067183.554246,5346,-6.826348304748535
1542067183.979526,5360,-6.737804889678955
1542067194.1066215,5724,-7.127316474914551
1542067198.112881,5865,-7.251192092895508
1542067199.3122249,5908,-7.343232154846191
1542067201.6237028,5991,-7.258671760559082
1542067207.519044,6201,-7.459376811981201
1542067208.0376666,6220,-7.395392894744873
1542067217.9734144,6575,-7.640902519226074
1542067221.470383,6700,-7.669122695922852
1542067221.8101175,6712,-7.721634864807129
1542067225.9272232,6855,-7.725996017456055
1542067229.0968318,6967,-7.692264556884766
1542067234.4246707,7156,-7.972964763641357
1542067240.815129,7383,-7.881961345672607
1542067242.9512386,7461,-7.912552833557129
1542067243.0347145,7464,-8.03696346282959
1542067252.5249557,7799,-7.995331287384033
1542067253.5281658,7834,-8.190535545349121
1542067260.1088676,8067,-8.313740730285645
1542067263.2600257,8181,-8.237003326416016
1542067264.4819636,8222,-8.34158706665039
1542067268.4062681,8364,-8.21830940246582
1542067272.2941608,8499,-8.337297439575195
1542067272.5735457,8509,-8.222991943359375
1542067275.1791718,8602,-8.201809883117676
1542067283.0618355,8879,-8.51767349243164
1542067284.677009,8936,-8.433403968811035
1542067293.7507882,9261,-8.396280288696289
1542067299.5921671,9469,-8.419089317321777
1542067302.021187,9555,-8.463557243347168
1542067302.390686,9568,-8.557198524475098
1542067306.024634,9699,-8.49000072479248
1542067326.029074,10400,-8.406197547912598
1542067328.3055506,10480,-8.366363525390625
1542067329.544543,10523,-8.487957954406738
1542067331.9525056,10608,-8.48112964630127
1542067336.8363714,10781,-8.716545104980469
1542067340.403568,10903,-8.542257308959961
1542067340.4912841,10906,-8.578842163085938
1542067342.2431858,10967,-8.702441215515137
1542067343.7885134,11021,-8.55359935760498
1542067346.129664,11103,-8.667875289916992
1542067358.5648847,11533,-8.98121166229248
1542067359.5609255,11567,-8.945801734924316
1542067363.0835302,11686,-9.05510425567627
1542067365.1457856,11760,-9.04195499420166
1542067371.0197651,11970,-9.189277648925781
1542067371.157435,11975,-9.092634201049805
1542067376.4883192,12165,-9.079841613769531
1542067379.9963367,12291,-8.9651517868042
1542067396.269933,12878,-9.071203231811523
1542067400.689531,13035,-9.0991792678833
1542067401.4289236,13062,-9.080934524536133
1542067415.555239,13547,-9.147748947143555
1542067417.044304,13598,-9.166952133178711
1542067417.6886475,13621,-9.142725944519043
1542067423.41748,13811,-9.12966251373291
1542067435.3142686,14222,-9.322151184082031
1542067437.3010087,14295,-9.233100891113281
1542067438.51371,14339,-9.147136688232422
1542067441.5948687,14448,-9.226786613464355
1542067446.9135184,14639,-9.27735710144043
1542067447.7455611,14669,-9.19412612915039
1542067450.778906,14780,-9.32576847076416
1542067453.3940105,14874,-9.302931785583496
1542067622.8180587,15474,-9.292314529418945
1542067623.7493556,15508,-9.216761589050293
1542067630.9102294,15765,-9.2706937789917
1542067640.8021474,16117,-9.234148025512695
1542067646.5342665,16322,-9.318075180053711
1542067661.668698,16858,-9.443503379821777
1542067667.4617188,17067,-9.440340042114258
1542067668.3068862,17098,-9.427708625793457
1542067674.441324,17318,-9.340462684631348
1542067675.054487,17340,-9.377776145935059
1542067680.8234925,17544,-9.357392311096191
1542067681.2249415,17558,-9.418527603149414
1542067706.5049539,18452,-9.480725288391113
1542067725.8339472,19117,-9.49623966217041
1542067727.344065,19170,-9.563008308410645
1542067738.317834,19532,-9.32015323638916
1542067741.368682,19641,-9.469741821289062
1542067741.7569137,19655,-9.3720703125
1542067743.9653077,19732,-9.449837684631348
1542067751.456722,19996,-9.551251411437988
1542067753.0974772,20054,-9.529747009277344
1542067753.3469791,20063,-9.513307571411133
1542067755.4644754,20139,-9.550313949584961
1542067758.525193,20245,-9.525842666625977
1542067758.7525918,20253,-9.470582962036133
1542067760.729864,20324,-9.535523414611816
1542067764.0405228,20441,-9.633760452270508
1542067766.7930334,20540,-9.520482063293457
1542067767.873812,20579,-9.38479232788086
1542067773.579231,20780,-9.537761688232422
1542067773.6630433,20783,-9.570706367492676
1542067775.76439,20856,-9.468994140625
1542067782.0885174,21081,-9.605039596557617
1542067783.9270747,21145,-9.696887016296387
1542067786.3946047,21233,-9.53670597076416
1542067788.8646507,21320,-9.571643829345703
1542067794.5928388,21524,-9.61858081817627
1542067803.6830223,21849,-9.525311470031738
1542067814.7641468,22246,-9.435497283935547
