Wall time,Step,Value
1542067032.6338353,43,61.51020050048828
1542067036.1431012,168,57.920745849609375
1542067037.872515,230,54.63687515258789
1542067044.6991541,475,55.26445007324219
1542067046.501878,537,51.840335845947266
1542067047.6925473,580,52.78956985473633
1542067047.88939,587,53.71582794189453
1542067049.2159169,635,54.7426643371582
1542067049.5826783,648,51.06273651123047
1542067051.45972,715,51.86745834350586
1542067054.1677775,809,51.34914016723633
1542067060.084366,1015,48.981666564941406
1542067069.149893,1334,44.93950271606445
1542067070.5961378,1386,50.24753189086914
1542067070.7911253,1393,45.81871032714844
1542067071.99583,1437,49.45463562011719
1542067079.3111603,1692,44.134910583496094
1542067080.5362444,1735,43.76057434082031
1542067080.6216142,1738,48.216957092285156
1542067084.5696135,1878,42.16288375854492
1542067085.7028484,1918,44.752323150634766
1542067089.092126,2037,43.08043670654297
1542067096.687458,2308,42.74614334106445
1542067098.9675405,2390,39.53257369995117
1542067101.9902399,2486,39.832557678222656
1542067102.0219915,2487,40.9890251159668
1542067107.849142,2686,38.437095642089844
1542067118.5408392,3039,39.92704772949219
1542067123.971942,3231,39.9155387878418
1542067124.4161606,3247,39.76050567626953
1542067126.0563602,3306,36.289466857910156
1542067134.8555021,3619,39.83255386352539
1542067134.9115617,3621,38.16138458251953
1542067136.3291104,3671,37.19412612915039
1542067140.6331556,3822,37.51408767700195
1542067144.402682,3957,37.6519889831543
1542067154.6162198,4318,37.81063461303711
1542067156.9504678,4401,39.18235778808594
1542067159.5670671,4493,39.09046936035156
1542067160.0346992,4510,36.58243942260742
1542067164.8298736,4677,35.60491180419922
1542067167.9602928,4789,39.17354965209961
1542067173.0786023,4972,37.97532272338867
1542067177.6933808,5135,39.40961456298828
1542067183.554246,5346,36.763187408447266
1542067183.979526,5360,39.00771713256836
1542067194.1066215,5724,38.247135162353516
1542067198.112881,5865,35.90801239013672
1542067199.3122249,5908,39.30738830566406
1542067201.6237028,5991,36.846378326416016
1542067207.519044,6201,37.815608978271484
1542067208.0376666,6220,40.018218994140625
1542067217.9734144,6575,38.37371063232422
1542067221.470383,6700,38.00030517578125
1542067221.8101175,6712,37.77318572998047
1542067225.9272232,6855,37.81237030029297
1542067229.0968318,6967,38.32745361328125
1542067234.4246707,7156,35.72050857543945
1542067240.815129,7383,38.864742279052734
1542067242.9512386,7461,39.46608352661133
1542067243.0347145,7464,38.662445068359375
1542067252.5249557,7799,39.430660247802734
1542067253.5281658,7834,33.83879852294922
1542067260.1088676,8067,36.66363525390625
1542067263.2600257,8181,37.71665954589844
1542067264.4819636,8222,38.8848762512207
1542067268.4062681,8364,35.32545852661133
1542067272.2941608,8499,36.22670364379883
1542067272.5735457,8509,39.037986755371094
1542067275.1791718,8602,38.101783752441406
1542067283.0618355,8879,32.59482192993164
1542067284.677009,8936,37.24675750732422
1542067293.7507882,9261,35.54594421386719
1542067299.5921671,9469,35.196144104003906
1542067302.021187,9555,36.65959930419922
1542067302.390686,9568,35.475433349609375
1542067306.024634,9699,36.90951919555664
1542067326.029074,10400,34.80107498168945
1542067328.3055506,10480,33.41720962524414
1542067329.544543,10523,34.61058807373047
1542067331.9525056,10608,36.09373092651367
1542067336.8363714,10781,36.32583999633789
1542067340.403568,10903,36.03456115722656
1542067340.4912841,10906,36.75087356567383
1542067342.2431858,10967,33.94340515136719
1542067343.7885134,11021,34.48954772949219
1542067346.129664,11103,35.8876953125
1542067358.5648847,11533,34.095848083496094
1542067359.5609255,11567,33.28866195678711
1542067363.0835302,11686,33.259490966796875
1542067365.1457856,11760,35.51384735107422
1542067371.0197651,11970,33.628143310546875
1542067371.157435,11975,33.821502685546875
1542067376.4883192,12165,34.20731735229492
1542067379.9963367,12291,34.373191833496094
